Wed Dec 11 17:22:41 2024    profiling_results

         15688296 function calls (15687953 primitive calls) in 167.251 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        7    0.000    0.000    0.000    0.000 stride_tricks.py:416(_broadcast_shape)
      436    0.000    0.000    0.000    0.000 artist.py:293(axes)
       29    0.000    0.000    0.000    0.000 {method '__reduce_ex__' of 'object' objects}
        3    0.000    0.000    0.000    0.000 markers.py:785(_set_tickdown)
     26/2    0.000    0.000    0.000    0.000 transforms.py:2377(_invalidate_internal)
        2    0.000    0.000    0.000    0.000 axis.py:1799(set_label_text)
        3    0.000    0.000    0.000    0.000 transforms.py:1710(__eq__)
       14    0.000    0.000    0.000    0.000 path.py:202(_update_values)
       19    0.000    0.000    0.000    0.000 lines.py:505(set_pickradius)
        2    0.000    0.000    0.000    0.000 traitlets.py:708(__set__)
      267    0.000    0.000    0.000    0.000 {built-in method nt.fspath}
        7    0.000    0.000    0.000    0.000 fromnumeric.py:2322(any)
        3    0.000    0.000    0.000    0.000 transforms.py:2162(__eq__)
       19    0.000    0.000    0.000    0.000 lines.py:1211(set_markeredgecolor)
       13    0.000    0.000    0.000    0.000 patches.py:314(_set_edgecolor)
       69    0.000    0.000    0.000    0.000 {built-in method builtins.max}
        3    0.000    0.000    0.000    0.000 axis.py:494(_get_text2_transform)
      145    0.000    0.000    0.000    0.000 {built-in method sys.intern}
        2    0.000    0.000    0.000    0.000 traitlets.py:3631(set)
        3    0.000    0.000    0.000    0.000 markers.py:765(_set_tickleft)
        3    0.000    0.000    0.000    0.000 axis.py:437(_get_text2_transform)
       20    0.000    0.000    0.000    0.000 cbook.py:1324(is_math_text)
       25    0.000    0.000    0.000    0.000 text.py:1317(set_usetex)
        1    0.000    0.000    0.000    0.000 backend_qt.py:220(_update_screen)
        2    0.000    0.000    0.000    0.000 cm.py:642(set_norm)
       10    0.000    0.000    0.000    0.000 axis.py:1043(_translate_tick_params)
      7/6    0.000    0.000    0.000    0.000 transforms.py:1777(__eq__)
        3    0.000    0.000    0.000    0.000 core.py:4624(ravel)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        3    0.000    0.000    0.000    0.000 _base.py:1043(get_yaxis_text2_transform)
      127    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x00007FFD392E98B0}
        2    0.000    0.000    0.000    0.000 ticker.py:1633(nonsingular)
        8    0.000    0.000    0.000    0.000 core.py:587(filled)
       43    0.000    0.000    0.000    0.000 artist.py:269(convert_xunits)
        3    0.000    0.000    0.000    0.000 axis.py:508(update_position)
       51    0.000    0.000    0.000    0.000 threading.py:1153(_wait_for_tstate_lock)
       11    0.000    0.000    0.000    0.000 {method 'all' of 'numpy.ndarray' objects}
        3    0.000    0.000    0.000    0.000 axis.py:447(update_position)
       19    0.000    0.000    0.000    0.000 lines.py:1231(set_markerfacecoloralt)
        2    0.000    0.000    0.000    0.000 transforms.py:1400(contains_branch_seperately)
        2    0.000    0.000    0.000    0.000 axis.py:2269(setter)
        1    0.000    0.000    0.000    0.000 collections.py:836(set_alpha)
        3    0.000    0.000    0.000    0.000 _base.py:963(get_xaxis_text2_transform)
        2    0.000    0.000    0.000    0.000 traitlets.py:689(set)
       37    0.000    0.000    0.000    0.000 <frozen abc>:121(__subclasscheck__)
        1    0.000    0.000    0.000    0.000 backend_bases.py:1330(__init__)
       12    0.000    0.000    0.000    0.000 patches.py:381(set_linewidth)
        4    0.000    0.000    0.000    0.000 core.py:3786(filled)
        2    0.000    0.000    0.000    0.000 transforms.py:2817(nonsingular)
